求和项:MaxPerformance,列标签,,,,,,,
行标签,1,10,100,1000,10000,100000,500000,1000000
1,1.4,8.05,13.95,15.21,15.32,15.2,15.19,15.26
2,0.51,6.05,20.82,29.03,30.39,30.42,30.44,23.53
4,0.48,4.85,23.07,51.24,60.17,59.77,60.05,59.91
8,0.37,3.12,30.34,66.14,80.64,81.57,118.46,103.11
12,0.29,2.9,23.53,88.09,116.2,120.45,121.2,120.2
16,0.24,2.19,24.59,97.51,152.2,160.18,154.52,157.15
20,0.23,2.35,21.04,0.63,186.22,200.85,183.39,178.48
24,0,0,0.05,0.32,2.95,29.52,48.28,59.49
32,0.02,0.2,1.83,18.66,82.2,111.9,156.21,168.58
,,,,,,,,
,,,,,,,,
,,,,,,,,
,1,10,100,1000,10000,100000,500000,1000000
1,1.4,8.05,13.95,15.21,15.32,15.2,15.19,15.26
2,0.51,6.05,20.82,29.03,30.39,30.42,30.44,23.53
4,0.48,4.85,23.07,51.24,60.17,59.77,60.05,59.91
8,0.37,3.12,30.34,66.14,80.64,81.57,118.46,103.11
12,0.29,2.9,23.53,88.09,116.2,120.45,121.2,120.2
16,0.24,2.19,24.59,97.51,152.2,160.18,154.52,157.15
20,0.23,2.35,21.04,0.63,186.22,200.85,183.39,178.48
24,0,0,0.05,0.32,2.95,29.52,48.28,59.49
32,0.02,0.2,1.83,18.66,82.2,111.9,156.21,168.58
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
