       1,   8,       128,     0.012, MegaMultiply Per Second
     512,   8,     65536,     1.166, MegaMultiply Per Second
    1024,   8,    131072,     1.891, MegaMultiply Per Second
    2048,   8,    262144,     2.069, MegaMultiply Per Second
    4096,   8,    524288,     2.445, MegaMultiply Per Second
    8192,   8,   1048576,     2.783, MegaMultiply Per Second
       1,  32,        32,     0.010, MegaMultiply Per Second
     512,  32,     16384,     1.528, MegaMultiply Per Second
    1024,  32,     32768,     2.938, MegaMultiply Per Second
    2048,  32,     65536,     5.960, MegaMultiply Per Second
    4096,  32,    131072,     6.028, MegaMultiply Per Second
    8192,  32,    262144,     7.562, MegaMultiply Per Second
       1,  64,        16,     0.016, MegaMultiply Per Second
     512,  64,      8192,     1.709, MegaMultiply Per Second
    1024,  64,     16384,     3.061, MegaMultiply Per Second
    2048,  64,     32768,     5.654, MegaMultiply Per Second
    4096,  64,     65536,     6.978, MegaMultiply Per Second
    8192,  64,    131072,     9.698, MegaMultiply Per Second
       1, 128,         8,     0.011, MegaMultiply Per Second
     512, 128,      4096,     2.166, MegaMultiply Per Second
    1024, 128,      8192,     3.701, MegaMultiply Per Second
    2048, 128,     16384,     5.253, MegaMultiply Per Second
    4096, 128,     32768,    10.802, MegaMultiply Per Second
    8192, 128,     65536,    11.152, MegaMultiply Per Second
       1, 256,         4,     0.012, MegaMultiply Per Second
     512, 256,      2048,     2.295, MegaMultiply Per Second
    1024, 256,      4096,     3.834, MegaMultiply Per Second
    2048, 256,      8192,     6.035, MegaMultiply Per Second
    4096, 256,     16384,     6.920, MegaMultiply Per Second
    8192, 256,     32768,    11.659, MegaMultiply Per Second
       1, 512,         2,     0.010, MegaMultiply Per Second
     512, 512,      1024,     1.834, MegaMultiply Per Second
    1024, 512,      2048,     3.342, MegaMultiply Per Second
    2048, 512,      4096,     5.231, MegaMultiply Per Second
    4096, 512,      8192,     9.174, MegaMultiply Per Second
    8192, 512,     16384,    12.577, MegaMultiply Per Second
